x,y,z
-237.989,4185.25,1871
-237.989,4185.25,1872
-237.989,4185.25,1873
-237.989,4185.25,1874
-237.989,4185.25,1875
-237.989,4185.25,1876
-237.989,4185.25,1877
-237.989,4185.25,1878
-237.989,4185.25,1879
-237.989,4185.25,1880
-237.989,4185.25,1881
-237.989,4185.25,1882
-237.989,4185.25,1883
-237.989,4185.25,1884
-237.989,4185.25,1885
-237.989,4185.25,1886
-237.989,4185.25,1887
-237.989,4185.25,1888
-237.989,4185.25,1889
-237.989,4185.25,1890
-237.989,4185.25,1891
-237.989,4185.25,1892
-237.989,4185.25,1893
-237.989,4185.25,1894
-237.989,4185.25,1895
-237.989,4185.25,1896
-237.989,4185.25,1897
-237.989,4185.25,1898
-237.989,4185.25,1899
-237.989,4185.25,1900
-237.989,4185.25,1901
-237.989,4185.25,1902
-237.989,4185.25,1903
-237.989,4185.25,1904
-237.989,4185.25,1905
-237.989,4185.25,1906
-237.989,4185.25,1907
-237.989,4185.25,1908
-237.989,4185.25,1909
-237.989,4185.25,1910
-237.989,4185.25,1911
-237.989,4185.25,1912
-237.989,4185.25,1913
-237.989,4185.25,1914
-237.989,4185.25,1915
-237.989,4185.25,1916
-237.989,4185.25,1917
-237.989,4185.25,1918
-237.989,4185.25,1919
-237.989,4185.25,1920
-237.989,4185.25,1921
-237.989,4185.25,1922
-237.989,4185.25,1923
-237.989,4185.25,1924
-237.989,4185.25,1925
-237.989,4185.25,1926
-237.989,4185.25,1927
-237.989,4185.25,1928
-237.989,4185.25,1929
-237.989,4185.25,1930
-237.989,4185.25,1931
-237.989,4185.25,1932
-237.989,4185.25,1933
-237.989,4185.25,1934
-237.989,4185.25,1935
-237.989,4185.25,1936
-237.989,4185.25,1937
-237.989,4185.25,1938
-237.989,4185.25,1939
-237.989,4185.25,1940
-237.989,4185.25,1941
-237.989,4185.25,1942
-237.989,4185.25,1943
-237.989,4185.25,1944
-237.989,4185.25,1945
-237.989,4185.25,1946
-237.989,4185.25,1947
-237.989,4185.25,1948
-237.989,4185.25,1949
-237.989,4185.25,1950
-237.989,4185.25,1951
-237.989,4185.25,1952
-237.989,4185.25,1953
-237.989,4185.25,1954
-237.989,4185.25,1955
-237.989,4185.25,1956
-237.989,4185.25,1957
-237.989,4185.25,1958
-237.989,4185.25,1959
-237.989,4185.25,1960
-237.989,4185.25,1961
-237.989,4185.25,1962
-237.989,4185.25,1963
-237.989,4185.25,1964
-237.989,4185.25,1965
-237.989,4185.25,1966
-237.989,4185.25,1967
-237.989,4185.25,1968
-237.989,4185.25,1969
-237.989,4185.25,1970
-237.989,4185.25,1971
-237.989,4185.25,1972
-237.989,4185.25,1973
-237.989,4185.25,1974
-237.989,4185.25,1975
-237.989,4185.25,1976
-237.989,4185.25,1977
-237.989,4185.25,1978
-237.989,4185.25,1979
-237.989,4185.25,1980
-237.989,4185.25,1981
-237.989,4185.25,1982
